Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7,0,220.0,316.76827144942115,216.17090003564954,910.9650999307632,1256.0,0.8426103196240046,0.0,220,220,220,220,910,910,910,910,910,910,910
,Aggregated,7,0,220.0,316.76827144942115,216.17090003564954,910.9650999307632,1256.0,0.8426103196240046,0.0,220,220,220,220,910,910,910,910,910,910,910
